timestamp,q0,q1,q2,q3,ax,ay,az,gx,gy,gz,mx,my,mz,alt,temp
1.58183,0.442,-0.742,0.498,0.082,-0.007,-0.033,1.003,-0.248,0.352,0.222,0.321,-0.335,-1.947,7.329,20.915
1.60184,0.424,-0.751,0.501,0.080,-0.009,-0.034,1.014,-0.248,0.351,0.233,0.321,-0.335,-1.947,7.331,20.917
1.62183,0.406,-0.759,0.503,0.077,-0.002,-0.036,1.001,-0.241,0.355,0.246,0.326,-0.325,-1.909,7.331,20.917
1.64184,0.388,-0.767,0.506,0.074,-0.013,-0.040,1.001,-0.243,0.350,0.236,0.326,-0.325,-1.909,7.331,20.917
1.66184,0.371,-0.774,0.508,0.071,-0.006,-0.032,1.014,-0.243,0.349,0.225,0.326,-0.325,-1.909,7.331,20.917
1.68184,0.354,-0.781,0.510,0.068,-0.003,-0.033,1.000,-0.238,0.352,0.263,0.326,-0.325,-1.909,7.534,20.919
1.70183,0.338,-0.788,0.511,0.065,-0.010,-0.028,1.002,-0.247,0.354,0.216,0.326,-0.325,-1.909,7.534,20.919
1.72183,0.321,-0.793,0.513,0.063,-0.013,-0.041,0.993,-0.253,0.359,0.230,0.314,-0.333,-1.925,7.534,20.919
1.74185,0.306,-0.799,0.515,0.060,-0.012,-0.027,0.993,-0.253,0.355,0.235,0.314,-0.333,-1.925,7.534,20.919
1.76184,0.290,-0.804,0.516,0.057,-0.011,-0.041,1.005,-0.246,0.362,0.219,0.314,-0.333,-1.925,8.138,20.919
1.78184,0.275,-0.808,0.518,0.054,-0.007,-0.038,1.006,-0.241,0.355,0.233,0.314,-0.333,-1.925,8.138,20.919
1.80185,0.260,-0.812,0.519,0.051,-0.015,-0.037,1.001,-0.248,0.351,0.227,0.314,-0.333,-1.925,8.138,20.919
1.82183,0.246,-0.816,0.521,0.049,-0.009,-0.037,1.002,-0.245,0.355,0.243,0.296,-0.334,-1.926,8.138,20.919
1.84185,0.233,-0.820,0.522,0.046,-0.010,-0.032,1.003,-0.251,0.351,0.225,0.296,-0.334,-1.926,7.774,20.917
1.86185,0.219,-0.823,0.523,0.043,-0.004,-0.041,0.996,-0.248,0.357,0.249,0.296,-0.334,-1.926,7.774,20.917
1.88184,0.206,-0.826,0.524,0.041,-0.010,-0.032,0.998,-0.245,0.350,0.236,0.296,-0.334,-1.926,7.774,20.917
1.90185,0.194,-0.829,0.523,0.038,-0.016,-0.019,1.012,-0.242,0.350,0.238,0.311,-0.318,-1.921,7.774,20.917
1.92184,0.182,-0.832,0.523,0.035,-0.012,-0.031,1.007,-0.254,0.354,0.241,0.311,-0.318,-1.921,7.652,20.921
1.94185,0.170,-0.834,0.524,0.033,-0.012,-0.041,0.999,-0.247,0.351,0.223,0.311,-0.318,-1.921,7.652,20.921
1.96184,0.159,-0.836,0.524,0.031,-0.022,-0.036,1.012,-0.247,0.351,0.251,0.311,-0.318,-1.921,7.652,20.921
1.98184,0.148,-0.838,0.524,0.028,-0.009,-0.036,1.001,-0.248,0.351,0.233,0.311,-0.318,-1.921,7.652,20.921
2.00184,0.138,-0.840,0.524,0.026,-0.011,-0.029,1.008,-0.246,0.355,0.240,0.300,-0.334,-1.926,8.039,20.921
2.02183,0.128,-0.841,0.524,0.024,-0.013,-0.032,1.005,-0.248,0.350,0.243,0.300,-0.334,-1.926,8.039,20.921
2.04184,0.118,-0.843,0.525,0.021,-0.013,-0.038,1.013,-0.253,0.359,0.224,0.300,-0.334,-1.926,8.039,20.921
2.06185,0.109,-0.844,0.525,0.019,-0.014,-0.041,1.009,-0.248,0.354,0.254,0.300,-0.334,-1.926,8.039,20.921
2.08184,0.100,-0.844,0.526,0.017,-0.022,-0.032,1.009,-0.248,0.356,0.249,0.300,-0.334,-1.926,8.043,20.923
2.10184,0.091,-0.846,0.525,0.015,-0.005,-0.034,0.996,-0.245,0.355,0.240,0.308,-0.323,-1.904,8.043,20.923
2.12183,0.083,-0.847,0.525,0.013,-0.012,-0.033,1.003,-0.249,0.348,0.255,0.308,-0.323,-1.904,8.043,20.923
2.14184,0.075,-0.848,0.524,0.011,-0.010,-0.020,0.985,-0.248,0.359,0.240,0.308,-0.323,-1.904,8.043,20.923
2.16183,0.067,-0.850,0.523,0.009,-0.007,-0.036,1.006,-0.253,0.356,0.210,0.308,-0.323,-1.904,7.231,20.923
2.18185,0.060,-0.850,0.523,0.008,-0.011,-0.040,0.997,-0.249,0.350,0.224,0.308,-0.323,-1.904,7.231,20.923
2.20184,0.053,-0.852,0.521,0.006,-0.010,-0.025,0.999,-0.254,0.350,0.235,0.319,-0.323,-1.925,7.231,20.923
2.22183,0.046,-0.852,0.521,0.004,-0.019,-0.035,1.006,-0.248,0.356,0.244,0.319,-0.323,-1.925,7.231,20.923
2.24185,0.040,-0.853,0.520,0.002,-0.009,-0.037,1.002,-0.241,0.354,0.261,0.319,-0.323,-1.925,8.055,20.919
2.26182,0.033,-0.853,0.520,0.001,-0.014,-0.043,1.010,-0.246,0.354,0.265,0.319,-0.323,-1.925,8.055,20.919
2.28184,0.027,-0.854,0.520,-0.001,-0.019,-0.029,0.997,-0.247,0.356,0.254,0.319,-0.323,-1.925,8.055,20.919
2.30184,0.022,-0.855,0.519,-0.002,-0.004,-0.041,1.010,-0.253,0.359,0.240,0.310,-0.317,-1.940,8.055,20.919
2.32183,0.016,-0.855,0.518,-0.004,-0.010,-0.034,0.995,-0.245,0.354,0.249,0.310,-0.317,-1.940,8.624,20.925
2.34184,0.011,-0.855,0.518,-0.005,-0.010,-0.040,1.022,-0.246,0.350,0.254,0.310,-0.317,-1.940,8.624,20.925
2.36184,0.006,-0.856,0.517,-0.007,-0.016,-0.030,0.994,-0.249,0.351,0.229,0.310,-0.317,-1.940,8.624,20.925
2.38184,0.001,-0.856,0.517,-0.008,-0.013,-0.044,1.004,-0.256,0.362,0.246,0.310,-0.317,-1.940,8.624,20.925
2.40185,-0.004,-0.856,0.517,-0.009,-0.012,-0.032,1.005,-0.251,0.355,0.235,0.300,-0.333,-1.924,8.494,20.927
2.42183,-0.008,-0.856,0.516,-0.011,-0.006,-0.024,1.004,-0.249,0.349,0.258,0.300,-0.333,-1.924,8.494,20.927
2.44184,-0.013,-0.856,0.516,-0.012,-0.006,-0.044,0.983,-0.251,0.348,0.252,0.300,-0.333,-1.924,8.494,20.927
2.46183,-0.017,-0.856,0.517,-0.013,-0.020,-0.036,1.004,-0.247,0.346,0.228,0.300,-0.333,-1.924,8.494,20.927
2.48183,-0.021,-0.856,0.517,-0.014,-0.014,-0.033,1.001,-0.248,0.349,0.272,0.300,-0.333,-1.924,8.315,20.919
2.50185,-0.025,-0.855,0.517,-0.015,-0.011,-0.033,1.006,-0.248,0.348,0.277,0.303,-0.344,-1.911,8.315,20.919
2.52183,-0.028,-0.855,0.518,-0.016,-0.021,-0.032,1.016,-0.258,0.351,0.268,0.303,-0.344,-1.911,8.315,20.919
2.54185,-0.032,-0.855,0.517,-0.017,-0.006,-0.026,1.005,-0.254,0.350,0.199,0.303,-0.344,-1.911,8.315,20.919
2.56183,-0.035,-0.855,0.517,-0.018,-0.018,-0.036,1.005,-0.248,0.356,0.230,0.303,-0.344,-1.911,8.258,20.927
2.58184,-0.038,-0.855,0.517,-0.019,-0.010,-0.029,1.007,-0.253,0.354,0.210,0.303,-0.344,-1.911,8.258,20.927
2.60184,-0.041,-0.855,0.516,-0.020,-0.010,-0.034,1.005,-0.248,0.361,0.247,0.318,-0.341,-1.895,8.258,20.927
2.62184,-0.044,-0.856,0.515,-0.021,-0.006,-0.035,1.000,-0.248,0.350,0.236,0.318,-0.341,-1.895,8.258,20.927
2.64184,-0.047,-0.855,0.516,-0.022,-0.019,-0.040,0.991,-0.256,0.349,0.247,0.318,-0.341,-1.895,8.258,20.927
2.66184,-0.050,-0.856,0.515,-0.023,-0.013,-0.023,1.016,-0.243,0.354,0.239,0.318,-0.341,-1.895,8.480,20.929
2.68182,-0.053,-0.856,0.514,-0.024,-0.015,-0.036,1.002,-0.249,0.362,0.240,0.318,-0.341,-1.895,8.480,20.929
2.70185,-0.055,-0.856,0.513,-0.025,-0.010,-0.034,0.992,-0.249,0.351,0.254,0.334,-0.328,-1.940,8.480,20.929
2.72183,-0.058,-0.858,0.510,-0.025,-0.012,-0.032,1.011,-0.258,0.355,-0.049,0.334,-0.328,-1.940,8.480,20.929
2.74185,-0.060,-0.859,0.508,-0.026,-0.009,-0.027,1.007,-0.248,0.345,0.235,0.334,-0.328,-1.940,7.860,20.923
2.76185,-0.062,-0.859,0.508,-0.027,-0.014,-0.040,1.012,-0.245,0.359,0.236,0.334,-0.328,-1.940,7.860,20.923
2.78183,-0.064,-0.860,0.506,-0.028,-0.004,-0.027,1.002,-0.251,0.351,0.216,0.334,-0.328,-1.940,7.860,20.923
2.80185,-0.066,-0.860,0.506,-0.028,-0.010,-0.035,1.011,-0.247,0.352,0.224,0.308,-0.335,-1.922,7.860,20.923
2.82183,-0.068,-0.860,0.506,-0.029,-0.005,-0.038,1.005,-0.247,0.346,0.254,0.308,-0.335,-1.922,7.481,20.929
2.84185,-0.070,-0.861,0.503,-0.029,-0.009,-0.036,1.006,-0.247,0.352,-0.060,0.308,-0.335,-1.922,7.481,20.929
2.86185,-0.072,-0.861,0.503,-0.030,-0.012,-0.035,1.027,-0.251,0.356,0.250,0.308,-0.335,-1.922,7.481,20.929
2.88183,-0.073,-0.861,0.503,-0.031,-0.011,-0.028,1.011,-0.254,0.357,0.230,0.308,-0.335,-1.922,7.481,20.929
2.90184,-0.075,-0.860,0.504,-0.031,-0.014,-0.038,1.007,-0.247,0.352,0.229,0.292,-0.330,-1.934,7.620,20.925
2.92181,-0.077,-0.859,0.504,-0.032,-0.011,-0.038,1.004,-0.253,0.359,0.260,0.292,-0.330,-1.934,7.620,20.925
2.94183,-0.078,-0.859,0.506,-0.033,-0.021,-0.040,1.010,-0.249,0.348,0.247,0.292,-0.330,-1.934,7.620,20.925
2.96184,-0.080,-0.857,0.508,-0.033,-0.011,-0.024,1.011,-0.251,0.356,0.542,0.292,-0.330,-1.934,7.620,20.925
2.98184,-0.081,-0.857,0.508,-0.034,-0.011,-0.039,1.001,-0.246,0.348,0.271,0.306,-0.311,-1.919,7.890,20.929
3.00184,-0.082,-0.857,0.508,-0.034,-0.005,-0.043,1.000,-0.253,0.357,0.273,0.306,-0.311,-1.919,7.890,20.929
3.02182,-0.084,-0.857,0.508,-0.035,-0.016,-0.030,1.001,-0.245,0.352,0.246,0.306,-0.311,-1.919,7.890,20.929
3.04185,-0.085,-0.857,0.507,-0.035,-0.008,-0.035,1.010,-0.246,0.352,0.241,0.306,-0.311,-1.919,7.890,20.929
3.06185,-0.086,-0.858,0.506,-0.036,0.002,-0.030,1.007,-0.247,0.348,0.263,0.306,-0.311,-1.919,8.020,20.929
3.08184,-0.087,-0.858,0.505,-0.036,-0.017,-0.036,1.014,-0.252,0.356,0.265,0.323,-0.315,-1.907,8.020,20.929
